,w_index,time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,Airport_Code,tavg_cat,prcp_cat,wspd_cat
62,BOS 2022-05-09,2022-05-09,9.1,5.0,13.3,0.0,0.0,31.0,27.7,,1026.9,838.0,BOS,b) 0-10,a) 0-1,c) Moderate or Fresh Breeze
63,BOS 2022-05-10,2022-05-10,11.0,7.2,14.4,0.0,0.0,37.0,24.8,,1030.3,866.0,BOS,c) 10-20,a) 0-1,c) Moderate or Fresh Breeze
64,BOS 2022-05-11,2022-05-11,10.4,7.8,15.6,0.0,0.0,48.0,18.7,,1027.8,182.0,BOS,c) 10-20,a) 0-1,b) Light or Gentle Breeze
65,BOS 2022-05-12,2022-05-12,12.2,10.6,15.6,0.0,0.0,58.0,10.4,,1027.3,487.0,BOS,c) 10-20,a) 0-1,b) Light or Gentle Breeze
66,CLT 2022-04-10,2022-04-10,9.6,-0.5,21.1,0.0,0.0,251.0,8.3,,1017.9,,CLT,b) 0-10,a) 0-1,b) Light or Gentle Breeze
67,CLT 2022-04-11,2022-04-11,16.8,7.2,26.7,0.0,0.0,212.0,13.7,,1018.9,,CLT,c) 10-20,a) 0-1,b) Light or Gentle Breeze
68,CLT 2022-04-12,2022-04-12,20.0,11.7,27.2,0.0,0.0,219.0,11.2,,1019.8,,CLT,c) 10-20,a) 0-1,b) Light or Gentle Breeze
69,CLT 2022-04-13,2022-04-13,20.7,15.0,27.8,0.0,0.0,195.0,16.9,,1017.6,,CLT,d) 20-30,a) 0-1,b) Light or Gentle Breeze
70,CLT 2022-04-14,2022-04-14,21.1,15.6,26.1,0.0,0.0,205.0,15.1,,1013.7,,CLT,d) 20-30,a) 0-1,b) Light or Gentle Breeze
71,CLT 2022-04-15,2022-04-15,18.2,11.7,23.3,0.0,0.0,68.0,13.0,,1021.1,,CLT,c) 10-20,a) 0-1,b) Light or Gentle Breeze
72,CLT 2022-04-16,2022-04-16,17.4,11.7,24.4,0.0,0.0,225.0,9.7,,1017.3,,CLT,c) 10-20,a) 0-1,b) Light or Gentle Breeze
73,CLT 2022-04-17,2022-04-17,19.4,11.7,26.7,0.8,0.0,52.0,11.5,,1015.4,,CLT,c) 10-20,a) 0-1,b) Light or Gentle Breeze
74,CLT 2022-04-18,2022-04-18,13.3,7.8,17.2,44.2,0.0,31.0,16.2,,1015.4,,CLT,c) 10-20,e) 30+,b) Light or Gentle Breeze
75,CLT 2022-04-19,2022-04-19,10.6,2.8,17.2,0.0,0.0,314.0,10.8,,1019.3,,CLT,c) 10-20,a) 0-1,b) Light or Gentle Breeze
76,CLT 2022-04-20,2022-04-20,12.0,3.9,19.4,0.0,0.0,127.0,13.0,,1028.5,,CLT,c) 10-20,a) 0-1,b) Light or Gentle Breeze
77,CLT 2022-04-21,2022-04-21,16.1,9.4,23.9,0.0,0.0,209.0,7.9,,1030.0,,CLT,c) 10-20,a) 0-1,b) Light or Gentle Breeze
78,CLT 2022-04-22,2022-04-22,19.9,11.1,28.9,0.0,0.0,304.0,4.0,,1028.0,,CLT,c) 10-20,a) 0-1,a) Calm or Light Air
79,CLT 2022-04-23,2022-04-23,21.4,14.4,27.2,0.0,0.0,216.0,9.4,,1024.8,,CLT,d) 20-30,a) 0-1,b) Light or Gentle Breeze
80,CLT 2022-04-24,2022-04-24,21.2,15.0,27.2,0.0,0.0,217.0,11.2,,1022.4,,CLT,d) 20-30,a) 0-1,b) Light or Gentle Breeze
81,CLT 2022-04-25,2022-04-25,21.6,15.6,28.9,0.0,0.0,211.0,12.2,,1019.8,,CLT,d) 20-30,a) 0-1,b) Light or Gentle Breeze
82,CLT 2022-04-26,2022-04-26,21.9,13.9,28.9,0.0,0.0,245.0,14.0,,1017.7,,CLT,d) 20-30,a) 0-1,b) Light or Gentle Breeze
